Team,Westgate Current,PointsBet Current,FanDuel Current,DraftKings Current,PointsBet Opened,2018-19 Wins
Bucks,58,57.5,57.5,55.5,55.5,60
Sixers,55,54.5,53.5,53.5,54.5,51
Clippers,54.5,55.5,54.5,56.5,51.5,48
Jazz,54.5,53.5,54.5,53.5,50.5,50
Rockets,54.5,53.5,53.5,52.5,53.5,53
Nuggets,52.5,52.5,52.5,52.5,50.5,54
Lakers,50,51.5,51.5,51.5,51.5,37
Celtics,49.5,48.5,48.5,48.5,48.5,49
Warriors,49,47.5,47.5,47.5,46.5,57
Pacers,47.5,46.5,46.5,47.5,47.5,48
Blazers,46.5,46.5,46.5,47.5,45.5,53
Raptors,46.5,45.5,46.5,46.5,53.5,58
Spurs,46.5,45.5,46.5,46.5,44.5,48
Nets,43.5,45.5,44.5,46.5,50.5,42
Heat,43.5,43.5,42.5,42.5,34.5,39
Magic,42,40.5,40.5,40.5,35.5,42
Mavericks,41,40.5,40.5,40.5,41.5,33
Pelicans,39,39.5,39.5,38.5,31.5,33
Kings,38,37.5,37.5,38.5,33.5,39
Pistons,37.5,37.5,36.5,37.5,34.5,41
Timberwolves,35.5,35.5,35.5,35.5,34.5,36
Hawks,33.5,33.5,33.5,33.5,32.5,29
Bulls,33,32.5,31.5,30.5,27.5,22
Thunder,31.5,32.5,32.5,33.5,46.5,49
Suns,29.5,28.5,27.5,27.5,25.5,19
Knicks,28,27.5,26.5,27.5,37.5,17
Wizards,27.5,27.5,27.5,27.5,28.5,32
Grizzlies,27.5,26.5,26.5,26.5,27.5,33
Cavaliers,24.5,24.5,23.5,23.5,23.5,19
Hornets,23,23.5,23.5,23.5,32.5,39
