"away","home","a.sc","h.sc","date","dateR","yet_to_play","away_bb","home_bb","year"
"Phoenix Suns","Los Angeles Lakers",106,114,"Tue, Oct 31, 2006",2006-10-31,0,0,0,2007
"Chicago Bulls","Miami Heat",108,66,"Tue, Oct 31, 2006",2006-10-31,0,0,0,2007
"New Orleans/Oklahoma City Hornets","Boston Celtics",91,87,"Wed, Nov 1, 2006",2006-11-01,0,0,0,2007
"Indiana Pacers","Charlotte Bobcats",106,99,"Wed, Nov 1, 2006",2006-11-01,0,0,0,2007
"Washington Wizards","Cleveland Cavaliers",94,97,"Wed, Nov 1, 2006",2006-11-01,0,0,0,2007
"Milwaukee Bucks","Detroit Pistons",105,97,"Wed, Nov 1, 2006",2006-11-01,0,0,0,2007
"Los Angeles Lakers","Golden State Warriors",110,98,"Wed, Nov 1, 2006",2006-11-01,0,1,0,2007
"New York Knicks","Memphis Grizzlies",118,117,"Wed, Nov 1, 2006",2006-11-01,0,0,0,2007
"Sacramento Kings","Minnesota Timberwolves",83,92,"Wed, Nov 1, 2006",2006-11-01,0,0,0,2007
"Toronto Raptors","New Jersey Nets",92,102,"Wed, Nov 1, 2006",2006-11-01,0,0,0,2007
"Chicago Bulls","Orlando Magic",94,109,"Wed, Nov 1, 2006",2006-11-01,0,1,0,2007
"Atlanta Hawks","Philadelphia 76ers",75,88,"Wed, Nov 1, 2006",2006-11-01,0,0,0,2007
"Los Angeles Clippers","Phoenix Suns",104,112,"Wed, Nov 1, 2006",2006-11-01,0,0,1,2007
"Portland Trail Blazers","Seattle SuperSonics",110,106,"Wed, Nov 1, 2006",2006-11-01,0,0,0,2007
"Houston Rockets","Utah Jazz",97,107,"Wed, Nov 1, 2006",2006-11-01,0,0,0,2007
"San Antonio Spurs","Dallas Mavericks",97,91,"Thu, Nov 2, 2006",2006-11-02,0,0,0,2007
"Denver Nuggets","Los Angeles Clippers",95,96,"Thu, Nov 2, 2006",2006-11-02,0,0,1,2007
"New York Knicks","Atlanta Hawks",92,102,"Fri, Nov 3, 2006",2006-11-03,0,0,0,2007
"Detroit Pistons","Boston Celtics",101,88,"Fri, Nov 3, 2006",2006-11-03,0,0,0,2007
"Sacramento Kings","Chicago Bulls",89,88,"Fri, Nov 3, 2006",2006-11-03,0,0,0,2007
"Minnesota Timberwolves","Denver Nuggets",112,109,"Fri, Nov 3, 2006",2006-11-03,0,0,1,2007
"Portland Trail Blazers","Golden State Warriors",89,102,"Fri, Nov 3, 2006",2006-11-03,0,0,0,2007
"New Orleans/Oklahoma City Hornets","Indiana Pacers",100,91,"Fri, Nov 3, 2006",2006-11-03,0,0,0,2007
"Seattle SuperSonics","Los Angeles Lakers",112,118,"Fri, Nov 3, 2006",2006-11-03,0,0,0,2007
"Charlotte Bobcats","Memphis Grizzlies",83,96,"Fri, Nov 3, 2006",2006-11-03,0,0,0,2007
"New Jersey Nets","Miami Heat",85,91,"Fri, Nov 3, 2006",2006-11-03,0,0,0,2007
"Philadelphia 76ers","Orlando Magic",105,103,"Fri, Nov 3, 2006",2006-11-03,0,0,0,2007
"Utah Jazz","Phoenix Suns",108,104,"Fri, Nov 3, 2006",2006-11-03,0,0,0,2007
"Cleveland Cavaliers","San Antonio Spurs",88,81,"Fri, Nov 3, 2006",2006-11-03,0,0,1,2007
"Milwaukee Bucks","Toronto Raptors",92,109,"Fri, Nov 3, 2006",2006-11-03,0,0,0,2007
"Cleveland Cavaliers","Charlotte Bobcats",88,92,"Sat, Nov 4, 2006",2006-11-04,0,1,1,2007
"Memphis Grizzlies","Detroit Pistons",86,95,"Sat, Nov 4, 2006",2006-11-04,0,1,1,2007
"Dallas Mavericks","Houston Rockets",76,107,"Sat, Nov 4, 2006",2006-11-04,0,0,0,2007
"Phoenix Suns","Los Angeles Clippers",108,114,"Sat, Nov 4, 2006",2006-11-04,0,1,0,2007
"Sacramento Kings","Milwaukee Bucks",91,104,"Sat, Nov 4, 2006",2006-11-04,0,1,1,2007
"Indiana Pacers","New York Knicks",109,95,"Sat, Nov 4, 2006",2006-11-04,0,1,1,2007
"Minnesota Timberwolves","Portland Trail Blazers",86,88,"Sat, Nov 4, 2006",2006-11-04,0,1,1,2007
"Golden State Warriors","Utah Jazz",82,106,"Sat, Nov 4, 2006",2006-11-04,0,1,1,2007
"Boston Celtics","Washington Wizards",117,124,"Sat, Nov 4, 2006",2006-11-04,0,1,0,2007
"Orlando Magic","Atlanta Hawks",82,95,"Sun, Nov 5, 2006",2006-11-05,0,0,0,2007
"Houston Rockets","New Orleans/Oklahoma City Hornets",90,96,"Sun, Nov 5, 2006",2006-11-05,0,1,0,2007
"Miami Heat","Philadelphia 76ers",98,107,"Sun, Nov 5, 2006",2006-11-05,0,0,0,2007
"Los Angeles Lakers","Seattle SuperSonics",101,117,"Sun, Nov 5, 2006",2006-11-05,0,0,0,2007
"San Antonio Spurs","Toronto Raptors",103,94,"Sun, Nov 5, 2006",2006-11-05,0,0,0,2007
"Milwaukee Bucks","Chicago Bulls",85,110,"Mon, Nov 6, 2006",2006-11-06,0,0,0,2007
"Golden State Warriors","Dallas Mavericks",107,104,"Mon, Nov 6, 2006",2006-11-06,0,0,0,2007
"Portland Trail Blazers","Los Angeles Clippers",89,102,"Mon, Nov 6, 2006",2006-11-06,0,0,0,2007
"San Antonio Spurs","New York Knicks",105,93,"Mon, Nov 6, 2006",2006-11-06,0,1,0,2007
"Washington Wizards","Orlando Magic",103,106,"Mon, Nov 6, 2006",2006-11-06,0,0,1,2007
"Minnesota Timberwolves","Sacramento Kings",81,93,"Mon, Nov 6, 2006",2006-11-06,0,0,0,2007
"Detroit Pistons","Utah Jazz",101,103,"Mon, Nov 6, 2006",2006-11-06,0,0,0,2007
"Atlanta Hawks","Cleveland Cavaliers",104,95,"Tue, Nov 7, 2006",2006-11-07,0,0,0,2007
"Philadelphia 76ers","Indiana Pacers",86,97,"Tue, Nov 7, 2006",2006-11-07,0,0,0,2007
"Minnesota Timberwolves","Los Angeles Lakers",88,95,"Tue, Nov 7, 2006",2006-11-07,0,1,0,2007
"Houston Rockets","Memphis Grizzlies",86,80,"Tue, Nov 7, 2006",2006-11-07,0,0,0,2007
"Seattle SuperSonics","Miami Heat",87,90,"Tue, Nov 7, 2006",2006-11-07,0,0,0,2007
"Golden State Warriors","New Orleans/Oklahoma City Hornets",93,97,"Tue, Nov 7, 2006",2006-11-07,0,1,0,2007
"Charlotte Bobcats","Boston Celtics",108,110,"Wed, Nov 8, 2006",2006-11-08,0,0,0,2007
"New York Knicks","Denver Nuggets",109,107,"Wed, Nov 8, 2006",2006-11-08,0,0,0,2007
"Dallas Mavericks","Los Angeles Clippers",85,103,"Wed, Nov 8, 2006",2006-11-08,0,0,0,2007
"Houston Rockets","Milwaukee Bucks",97,93,"Wed, Nov 8, 2006",2006-11-08,0,1,0,2007
"Utah Jazz","New Jersey Nets",89,96,"Wed, Nov 8, 2006",2006-11-08,0,0,0,2007
"Seattle SuperSonics","Orlando Magic",87,88,"Wed, Nov 8, 2006",2006-11-08,0,1,0,2007
"Los Angeles Lakers","Portland Trail Blazers",90,101,"Wed, Nov 8, 2006",2006-11-08,0,1,0,2007
"Detroit Pistons","Sacramento Kings",86,99,"Wed, Nov 8, 2006",2006-11-08,0,0,0,2007
"Phoenix Suns","San Antonio Spurs",106,111,"Wed, Nov 8, 2006",2006-11-08,0,0,0,2007
"Philadelphia 76ers","Toronto Raptors",104,106,"Wed, Nov 8, 2006",2006-11-08,0,1,0,2007
"Indiana Pacers","Washington Wizards",91,117,"Wed, Nov 8, 2006",2006-11-08,0,1,0,2007
"Chicago Bulls","Cleveland Cavaliers",94,113,"Thu, Nov 9, 2006",2006-11-09,0,0,0,2007
"New Orleans/Oklahoma City Hornets","Golden State Warriors",116,121,"Thu, Nov 9, 2006",2006-11-09,0,0,0,2007
"Dallas Mavericks","Phoenix Suns",119,112,"Thu, Nov 9, 2006",2006-11-09,0,1,1,2007
"Utah Jazz","Boston Celtics",107,100,"Fri, Nov 10, 2006",2006-11-10,0,0,0,2007
"Seattle SuperSonics","Charlotte Bobcats",99,85,"Fri, Nov 10, 2006",2006-11-10,0,0,0,2007
"New York Knicks","Houston Rockets",94,103,"Fri, Nov 10, 2006",2006-11-10,0,0,0,2007
"Orlando Magic","Indiana Pacers",83,93,"Fri, Nov 10, 2006",2006-11-10,0,0,0,2007
