Rk,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
1,Indiana Pacers*,82,19705,3177,7059,.450,932,2633,.354,2245,4426,.507,1298,1718,.756,862,2718,3580,2006,608,425,1284,1642,8584
2,Miami Heat,82,19730,3141,7116,.441,973,2717,.358,2168,4399,.493,1432,1861,.769,831,2792,3623,1913,612,389,1159,1652,8687
3,Memphis Grizzlies,82,19880,3083,6836,.451,951,2639,.360,2132,4197,.508,1586,2023,.784,781,2883,3664,1920,625,402,1249,1758,8703
4,Utah Jazz*,82,19755,3276,7253,.452,806,2273,.355,2470,4980,.496,1372,1822,.753,733,2762,3495,1770,695,376,1136,1835,8730
5,Orlando Magic*,82,19780,3274,7185,.456,858,2475,.347,2416,4710,.513,1336,1717,.778,739,2922,3661,1892,575,362,1064,1537,8742
6,Denver Nuggets*,82,19730,3246,7084,.458,887,2618,.339,2359,4466,.528,1372,1822,.753,799,2685,3484,2016,610,407,1109,1675,8751
7,Detroit Pistons*,82,19855,3271,6969,.469,786,2278,.345,2485,4691,.530,1470,1947,.755,747,2834,3581,1940,566,419,1153,1748,8798
8,Boston Celtics*,82,19780,3239,7222,.448,944,2748,.344,2295,4474,.513,1430,1872,.764,852,2912,3764,1940,556,317,1241,1602,8852
9,Toronto Raptors*,82,19880,3302,7352,.449,882,2559,.345,2420,4793,.505,1399,1829,.765,867,2804,3671,2012,622,368,1225,1683,8885
10,Houston Rockets*,82,19830,3313,7106,.466,831,2444,.340,2482,4662,.532,1493,1944,.768,899,2825,3724,1929,607,369,1232,1640,8950
11,Milwaukee Bucks*,82,19780,3322,7669,.433,1073,2976,.361,2249,4693,.479,1242,1694,.733,813,2902,3715,2031,557,395,1096,1653,8959
12,San Antonio Spurs*,82,19805,3404,7354,.463,961,2678,.359,2443,4676,.522,1249,1654,.755,756,2844,3600,2025,589,332,999,1611,9018
13,Dallas Mavericks,82,19780,3357,7315,.459,918,2667,.344,2439,4648,.525,1400,1802,.777,836,2840,3676,2011,643,368,1065,1905,9032
14,Portland Trail Blazers*,82,19855,3371,7384,.457,878,2443,.359,2493,4941,.505,1438,1868,.770,842,2670,3512,1906,603,420,1014,1699,9058
15,Oklahoma City Thunder*,82,19855,3343,7272,.460,922,2592,.356,2421,4680,.517,1500,1971,.761,811,2936,3747,2039,672,415,1372,1844,9108
16,Golden State Warriors*,82,19805,3315,7471,.444,955,2753,.347,2360,4718,.500,1535,1987,.773,886,2750,3636,1989,630,295,1105,1601,9120
17,Charlotte Hornets,82,19830,3436,7311,.470,992,2748,.361,2444,4563,.536,1307,1660,.787,825,2931,3756,2133,565,492,1109,1686,9171
18,Brooklyn Nets*,82,19980,3460,7581,.456,848,2486,.341,2612,5095,.513,1442,1872,.770,902,2889,3791,1944,638,432,1104,1807,9210
19,Philadelphia 76ers*,82,19805,3418,7506,.455,843,2464,.342,2575,5042,.511,1545,2011,.768,823,2743,3566,1917,634,336,1045,1816,9224
20,Chicago Bulls,82,19905,3464,7316,.473,990,2709,.365,2474,4607,.537,1377,1805,.763,824,2984,3808,2094,600,473,1092,1534,9295
21,Los Angeles Lakers,82,19780,3438,7610,.452,971,2784,.349,2467,4826,.511,1459,1862,.784,924,2918,3842,2053,683,421,1167,1706,9306
22,New York Knicks,82,19780,3434,7352,.467,969,2673,.363,2465,4679,.527,1493,1948,.766,881,3016,3897,2098,607,458,1084,1708,9330
23,Minnesota Timberwolves,82,19830,3452,7386,.467,1041,2752,.378,2411,4634,.520,1401,1827,.767,921,2822,3743,2145,539,455,1209,1795,9346
24,Cleveland Cavaliers,82,19755,3539,7148,.495,984,2590,.380,2555,4558,.561,1293,1680,.770,782,2835,3617,2107,568,459,1022,1592,9355
25,Los Angeles Clippers*,82,19830,3423,7490,.457,849,2477,.343,2574,5013,.513,1677,2159,.777,925,2826,3751,1976,677,498,1081,1969,9372
26,Sacramento Kings,82,19730,3465,7430,.466,986,2837,.348,2479,4593,.540,1539,1998,.770,917,3015,3932,2024,618,420,1304,1753,9455
27,New Orleans Pelicans,82,19755,3549,7610,.466,1006,2766,.364,2543,4844,.525,1471,1926,.764,898,2855,3753,2174,702,445,1113,1722,9575
28,Phoenix Suns,82,19880,3482,7230,.482,912,2454,.372,2570,4776,.538,1705,2263,.753,971,2897,3868,2126,737,411,1285,1694,9581
29,Washington Wizards,82,19930,3560,7424,.480,994,2689,.370,2566,4735,.542,1474,1895,.778,936,2939,3875,2151,631,378,1292,1741,9588
30,Atlanta Hawks,82,19855,3508,7417,.473,1013,2820,.359,2495,4597,.543,1759,2321,.758,871,2904,3775,2202,810,448,1234,1817,9788
,League Average,82,19815,3369,7315,.461,932,2625,.355,2437,4691,.520,1450,1892,.766,848,2855,3704,2016,626,406,1155,1714,9119
