"Rk","Team","Age","W","L","PW","PL","MOV","SOS","SRS","ORtg","DRtg","NRtg","Pace","FTr","X3PAr","TS.","eFG.","TOV.","ORB.","FT.FGA","eFG..1","TOV..1","DRB.","FT.FGA.1","Arena","Attend.","Attend..G","yr","tm_yr","rank","rank_1","rank_2","rank_3","rank_4","rank_5","rank_6","rank_7"
1,"Los Angeles Lakers",29.2,67,15,64,18,8.55,-0.14,8.41,107.3,98.2,9.1,93.3,0.346,0.153,0.525,0.484,12.7,30.6,0.241,0.443,13.4,73.1,0.222,"STAPLES Center",771420,NA,2000,"Los Angeles Lakers_2000",29,27.5,27.5,24,26,9.5,21,18.5
2,"Portland Trail Blazers",29.6,59,23,59,23,6.4,-0.04,6.36,107.9,100.8,7.1,89.9,0.316,0.175,0.546,0.501,14.5,30.3,0.24,0.461,13.8,72.4,0.217,"Rose Garden Arena",835078,NA,2000,"Portland Trail Blazers_2000",28,20.5,21.5,24,15,5,1,6.5
3,"San Antonio Spurs",30.9,53,29,58,24,5.94,-0.02,5.92,105,98.6,6.4,90.8,0.346,0.138,0.535,0.488,14.3,27.8,0.258,0.451,13.5,73,0.188,"Alamodome",884450,NA,2000,"San Antonio Spurs_2000",24.5,29,27.5,28.5,27,28.5,29,28
4,"Phoenix Suns",28.6,53,29,56,26,5.22,0.02,5.24,104.6,99,5.6,94,0.286,0.184,0.532,0.491,15.2,29.3,0.217,0.454,15.7,70.5,0.245,"America West Arena",773115,NA,2000,"Phoenix Suns_2000",24.5,22,9.5,16.5,6,30,27,29
5,"Utah Jazz",31.5,55,27,54,28,4.46,0.05,4.52,107.3,102.3,5,89.6,0.337,0.134,0.54,0.49,14.3,29.5,0.26,0.477,15,73.2,0.256,"Delta Center",801268,NA,2000,"Utah Jazz_2000",26,24.5,18,18.5,17.5,4,16,25
6,"Indiana Pacers",30.4,56,26,54,28,4.6,-0.45,4.15,108.5,103.6,4.9,93.1,0.302,0.224,0.552,0.503,13.3,24.9,0.245,0.469,12.6,71.5,0.197,"Conseco Fieldhouse",752145,NA,2000,"Indiana Pacers_2000",27,12,14.5,20.5,29,16.5,16,11.5
7,"Sacramento Kings",27.5,44,38,49,33,2.91,0.12,3.04,105,102.1,2.9,99.3,0.277,0.227,0.526,0.486,13.9,27.7,0.209,0.479,15.1,69.7,0.198,"ARCO Arena (II)",720033,NA,2000,"Sacramento Kings_2000",16,26,29,27,25,23,19.5,9
8,"Miami Heat",29.2,52,30,50,32,3.11,-0.36,2.75,104.5,101,3.5,89.7,0.283,0.186,0.533,0.495,14.5,28.2,0.208,0.453,13.3,72.9,0.229,"AmericanAirlines Arena",706725,NA,2000,"Miami Heat_2000",23,20.5,9.5,4,17.5,28.5,26,20
9,"Minnesota Timberwolves",26.6,50,32,48,34,2.52,0.14,2.67,106.1,103.4,2.7,91.8,0.256,0.104,0.525,0.485,12.9,29.4,0.2,0.474,14,73,0.25,"Target Center",690012,NA,2000,"Minnesota Timberwolves_2000",21.5,17.5,23.5,26,28,16.5,6.5,6.5
10,"New Orleans Pelicans",28.7,49,33,49,33,2.67,-0.34,2.33,104.3,101.4,2.9,93.9,0.376,0.153,0.53,0.475,13.7,25.7,0.285,0.478,14.6,73.2,0.198,"Charlotte Coliseum",732827,NA,2000,"New Orleans Pelicans_2000",19.5,16,18,18.5,15,2.5,12.5,13
11,"New York Knicks",29.5,50,32,46,36,1.46,-0.16,1.3,102.5,100.9,1.6,89.2,0.283,0.147,0.527,0.482,14.4,24.7,0.221,0.455,13.6,73.1,0.251,"Madison Square Garden (IV)",810103,NA,2000,"New York Knicks_2000",21.5,19,7,9.5,13,7.5,2,9
12,"Oklahoma City Thunder",28.5,45,37,44,38,0.95,0.22,1.17,105.6,104.6,1,93.4,0.282,0.232,0.52,0.487,12.9,28.5,0.196,0.483,14,69.6,0.193,"KeyArena at Seattle Center",615730,NA,2000,"Oklahoma City Thunder_2000",17.5,14,20,12,11.5,25,10,5
13,"Detroit Pistons",28.3,42,40,45,37,1.44,-0.31,1.13,107.3,105.8,1.5,95.7,0.378,0.184,0.548,0.492,14.3,26.8,0.295,0.499,15.4,71.6,0.249,"The Palace of Auburn Hills",678470,NA,2000,"Detroit Pistons_2000",14.5,9,23.5,24,24,26,30,27
14,"Philadelphia 76ers",27.1,49,33,45,37,1.34,-0.32,1.02,101.5,100,1.5,92.7,0.329,0.095,0.501,0.457,14.2,31.4,0.233,0.466,16.2,69.9,0.229,"First Union Center",756956,NA,2000,"Philadelphia 76ers_2000",19.5,27.5,16,20.5,7.5,15,12.5,11.5
15,"Orlando Magic",26.3,41,41,43,39,0.68,-0.26,0.43,102.4,101.7,0.7,97.3,0.305,0.124,0.516,0.473,15.4,31.6,0.224,0.476,15.9,69.9,0.226,"TD Waterhouse Centre",576409,NA,2000,"Orlando Magic_2000",13,13,18,13.5,1,11,11,14.5
16,"Milwaukee Bucks",28.2,42,40,42,40,0.22,-0.28,-0.06,108.2,107.9,0.3,92.7,0.29,0.157,0.539,0.494,13.8,30,0.228,0.496,14.6,69.6,0.254,"Bradley Center",628605,NA,2000,"Milwaukee Bucks_2000",14.5,23,13,13.5,15,6,14,3
17,"Dallas Mavericks",26.3,40,42,39,43,-0.57,0.29,-0.29,106.6,107.2,-0.6,94.9,0.248,0.188,0.532,0.49,12.6,25.5,0.2,0.488,14.2,66.1,0.21,"Reunion Arena",606177,NA,2000,"Dallas Mavericks_2000",12,24.5,26,28.5,23,27,28,30
18,"Toronto Raptors",29.3,45,37,41,41,-0.16,-0.3,-0.46,104.7,104.9,-0.2,92.5,0.3,0.17,0.511,0.464,12.7,30.1,0.23,0.48,14.2,71.8,0.247,"Air Canada Centre",756496,NA,2000,"Toronto Raptors_2000",17.5,17.5,14.5,3,7.5,7.5,5,22
19,"Houston Rockets",26.3,34,48,39,43,-0.87,0.3,-0.57,104.8,105.7,-0.9,94.2,0.322,0.244,0.536,0.494,15.8,29.1,0.236,0.481,12.5,71.6,0.201,"Compaq Center",624594,NA,2000,"Houston Rockets_2000",9,15,5,15,20,24,8.5,26
20,"Boston Celtics",25.4,35,47,39,43,-0.76,-0.24,-1,104.8,105.6,-0.8,94.6,0.316,0.183,0.52,0.474,13.8,30.4,0.236,0.498,15.8,73.8,0.306,"FleetCenter",683608,NA,2000,"Boston Celtics_2000",10.5,10,21.5,16.5,10,19,6.5,2
21,"Brooklyn Nets",27.3,31,51,38,44,-1.04,-0.15,-1.18,105.1,106.3,-1.2,92.5,0.297,0.2,0.517,0.468,12.6,28.1,0.233,0.491,15.2,67.2,0.223,"Continental Airlines Arena",643631,NA,2000,"Brooklyn Nets_2000",7,6,25,22,21,13.5,23.5,16.5
22,"Denver Nuggets",25.9,35,47,35,47,-2.12,0.36,-1.76,103.5,105.8,-2.3,94.7,0.306,0.202,0.517,0.476,14,29.2,0.222,0.479,13,71.6,0.235,"Pepsi Center",637698,NA,2000,"Denver Nuggets_2000",10.5,11,4,1.5,19,22,19.5,21
23,"Washington Wizards",28,29,53,32,50,-3.28,-0.19,-3.47,103.5,107,-3.5,92.7,0.315,0.133,0.521,0.476,14.8,30.6,0.234,0.489,13.9,71.7,0.273,"MCI Center",616593,NA,2000,"Washington Wizards_2000",6,3,11,9.5,3,19,18,16.5
24,"Cleveland Cavaliers",27.2,32,50,31,51,-3.5,-0.14,-3.64,100.4,104,-3.6,95.7,0.327,0.136,0.516,0.468,15.6,28.1,0.245,0.474,15.1,71.2,0.275,"Gund Arena",603702,NA,2000,"Cleveland Cavaliers_2000",8,7,6,1.5,9,13.5,25,24
25,"Memphis Grizzlies",25.3,22,60,25,57,-5.62,0.52,-5.1,102.3,108.5,-6.2,91,0.32,0.139,0.524,0.474,15.8,30.1,0.247,0.502,14.1,70.6,0.231,"General Motors Place",569864,NA,2000,"Memphis Grizzlies_2000",4,4,3,6,22,19,23.5,1
26,"Atlanta Hawks",27.6,28,54,26,56,-5.38,-0.04,-5.41,102,107.9,-5.9,91.7,0.292,0.12,0.503,0.46,14.1,31.7,0.217,0.481,11.3,71,0.196,"Philips Arena",600954,NA,2000,"Atlanta Hawks_2000",5,5,8,8,4.5,1,3.5,4
27,"Golden State Warriors",26.9,19,63,20,62,-8.27,0.64,-7.63,99.8,108.4,-8.6,95.4,0.301,0.15,0.484,0.444,13.9,32.6,0.21,0.499,14.6,69.1,0.259,"The Arena in Oakland",509171,NA,2000,"Golden State Warriors_2000",3,2,1.5,11,11.5,9.5,8.5,18.5
28,"Chicago Bulls",26,17,65,15,67,-9.4,0.17,-9.23,94.2,104.6,-10.4,89.4,0.338,0.167,0.49,0.443,18,29.9,0.24,0.484,14.5,69.9,0.24,"United Center",907064,NA,2000,"Chicago Bulls_2000",2,1,1.5,7,2,21,16,23
29,"Los Angeles Clippers",24.2,15,67,13,69,-11.52,0.8,-10.73,97.8,110.1,-12.3,93.9,0.27,0.188,0.499,0.458,14.9,26.1,0.202,0.507,13.1,69.6,0.22,"STAPLES Center",559714,NA,2000,"Los Angeles Clippers_2000",1,8,12,5,4.5,12,22,14.5
1,"San Antonio Spurs",29.5,58,24,63,19,7.76,0.16,7.92,106.6,98,8.6,89.6,0.374,0.175,0.541,0.496,13.6,27.1,0.267,0.444,12.9,73.7,0.182,"Alamodome",913176,22273,2001,"San Antonio Spurs_2001",29,27.5,28.5,27,28.5,29,28,26.5
2,"Sacramento Kings",27.1,55,27,57,25,5.82,0.25,6.07,105.6,99.6,6,94.4,0.298,0.194,0.529,0.484,13.4,27.2,0.23,0.46,14.5,70.7,0.181,"ARCO Arena (II)",709997,17317,2001,"Sacramento Kings_2001",26,29,27,25,23,19.5,9,13
3,"Utah Jazz",32,53,29,55,27,4.7,0.31,5,107.6,102.4,5.2,89.8,0.363,0.135,0.546,0.497,15.1,30.2,0.273,0.473,15.6,73.2,0.301,"Delta Center",792196,19322,2001,"Utah Jazz_2001",24.5,18,18.5,17.5,4,16,25,23
4,"Dallas Mavericks",26.6,53,29,53,29,4.28,0.32,4.61,107.1,102.6,4.5,93.2,0.291,0.202,0.544,0.498,13.1,24.1,0.231,0.467,14.2,70.7,0.244,"Reunion Arena",680238,16591,2001,"Dallas Mavericks_2001",24.5,26,28.5,23,27,28,30,21
