Dallas Mavericks,400,2007
San Antonio Spurs,450,2007
Phoenix Suns,600,2007
Miami Heat,600,2007
Detroit Pistons,800,2007
Cleveland Cavaliers,900,2007
New Jersey Nets,1500,2007
Chicago Bulls,1800,2007
Houston Rockets,2000,2007
Los Angeles Clippers,2500,2007
Los Angeles Lakers,3500,2007
Sacramento Kings,3500,2007
Denver Nuggets,4500,2007
Memphis Grizzlies,4500,2007
Indiana Pacers,5000,2007
Washington Wizards,6500,2007
Utah Jazz,8000,2007
Boston Celtics,8000,2007
Milwaukee Bucks,8000,2007
Toronto Raptors,10000,2007
Golden State Warriors,10000,2007
Minnesota Timberwolves,10000,2007
New Orleans Hornets,10000,2007
Seattle SuperSonics,10000,2007
Philadelphia 76ers,12000,2007
Orlando Magic,15000,2007
Atlanta Hawks,20000,2007
New York Knicks,20000,2007
Charlotte Bobcats,50000,2007
Portland Trail Blazers,50000,2007
Team,Title Odds,Year
