Team,Title Odds,Year
Cleveland Cavaliers,280,2016
Golden State Warriors,480,2016
Oklahoma City Thunder,750,2016
Toronto Raptors,6600,2016
San Antonio Spurs,500,2016
Atlanta Hawks,3600,2016
Miami Heat,4000,2016
Portland Trail Blazers,30000,2016
Los Angeles Clippers,1200,2016
Boston Celtics,15500,2016
Charlotte Hornets,35000,2016
Indiana Pacers,9000,2016
Detroit Pistons,25000,2016
Houston Rockets,1500,2016
Dallas Mavericks,12000,2016
Memphis Grizzlies,3300,2016
Chicago Bulls,1600,2016
Washington Wizards,5500,2016
Utah Jazz,15000,2016
Sacramento Kings,30000,2016
Orlando Magic,50000,2016
New York Knicks,24000,2016
New Orleans Pelicans,3300,2016
Milwaukee Bucks,6800,2016
Denver Nuggets,30000,2016
Minnesota Timberwolves,30000,2016
Phoenix Suns,30000,2016
Brooklyn Nets,30000,2016
Los Angeles Lakers,20000,2016
Philadelphia 76ers,100000,2016
